product_id,product_name,brand,final_price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup
2570734160,"Gogokids Kids Swim Jacket Life Vest Toddler Float Swimsuit with Adjustable Safety Straps Swimming Training Buoyancy Aid Swimwear Blue S, 2-3 Years",Gogokids,21.7,26.99,5.3,27,4.9,Child Life Jackets,Sports & Outdoors,True,False
799517514,"SGI Bedding 14 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | King, Zebra Print",SGI bedding,22.5,24.99,2.5,14,4.4,Bed Skirts,Home,True,False
5359488153,Hanerdun Womens Workout Yoga Shorts High Waist Bottoms Athletic Running Pants Purple M,Hanerdun,14.0,17.99,4.0,259,4.3,Womens Athletic Shorts,Clothing,True,False
486462188,Zenana Women's Soft Wide Waistband Active Fitness Tight Yoga Pants Leggings with Pockets,Zenana,12.0,18.99,7.0,9,4.1,Workout Leggings,Clothing,True,False
5267464734,"Triple Slow Cooker with 3 Spoons, 3 Pot 1.5 Quart Oval Crock Food Warmer Buffet Server, Stainless Steel",Sunvivi,58.0,99.99,42.0,68,4.7,Shop All Slow Cookers,Home,True,False
603804009,"Pompeii 1/4 Ct TDW Genuine Diamond Studs in 14k Yellow Gold (IJ,I2-I3)",Pompeii3,100.0,619.6,519.61,906,4,Gold Earrings,Jewelry,True,False
736890330,Men's Work To Weekend® Khaki Flat Front Pant Classic Fit 41114957522,Haggar,54.1,61.29,7.23,1427,4.2,Mens Pants,Clothing,True,False
1783772415,"California Design Den Queen Fitted Sheet Only, Softest 400 Thread Count 100% Cotton Sateen, Deep Pocket, All-Around Elastic, Side Indicators - Teal",California Design Den,30.0,37.49,7.5,156,4.5,Cotton Sheets,Home,True,False
410834007,LifeStride Womens Charlotte Strappy Dress Sandals - Medium & Wide Width,LifeStride,40.0,48.99,9.0,7,4.4,Stilettos,Clothing,True,False
36995775,"Dash Original Seasoning Blend, Salt free, 21 oz",Dash,13.1,25.99,12.87,252,4.8,Seasoning mixes & blends,Food,True,False
475973491,"NELEUS Mens 2 in 1 Dry Fit Workout Shorts with Liner and Pockets,Black+Gray+Blue,US Size S",NELEUS,42.9,75.0,32.11,518,4.5,Mens Workout Shorts,Clothing,True,False
5321127579,"No Boundaries Flare Pants, 2-Pack, Womens and Womens Plus",No Boundaries,10.3,17.98,7.64,3,5,Juniors Activewear,Clothing,True,False
333588477,Women Hooded Sweater Coat Winter Warm Wool Zipper Coat Cotton Coat Outwearpink ladies jacket?Clearance?,Follure Clothing,10.5,11.89,1.43,1,1,Womens Sweaters,Clothing,True,False
794414806,Ma Croix Womens Racerback Tank Top Sleeveless Top,Ma Croix,9.99,11.99,2.0,93,3.2,Womens Tank Tops,Clothing,True,False
150973791,"Hauteloom Alstead Shag Moroccan Farmhouse 2'7"" x 7'3"" Runner Bohemian/Global 100% Polypropylene Charcoal/Beige Runner",Hauteloom,71.1,79.0,7.9,824,4.8,All Runner Rugs,Home,True,False
845174402,"Softsoap Hand Soap Tablets Lemon Fizz, Refill Tablets (3 Count)",Softsoap,9.45,16.987999999999996,6.525999999999999,802,3.7,Hand Soaps,Personal Care,True,False
597413133,Womens Jeans Deep Relaxed-Fit Side Elastic Stretch 12,Lee,50.3,67.14,16.87,185,4.2,Young Adult Clothing,Clothing,True,False
5492294359,TheLovely Men & Women Long Sleeve Baseball Raglan Tee Shirt Top (S-3XL),TheLovely,14.4,15.99,1.6,11,4.4,All Baseball Gear & Equipments,Sports & Outdoors,True,False
3139034210,Uvplove Women's Fall Long Sleeve Crew Neck Loose Lightweight Knitted Pullover Sweater yh purple-l,UVPLove,20.0,32.99,13.0,57,4.5,Womens Sweaters,Clothing,True,False
651165096,SHOWMALL Plus Size Shirt for Women 3/4 Sleeve Clothes Navy Blue 4X Blouse Swing Top Crewneck Maternity Loose Clothing for Leggings,Showmall,19.0,31.99,13.0,1503,4.4,Plus Size Tunic Tops,Clothing,True,False
10291017,"HORMEL COMPLEATS Rice & Chicken, Shelf-Stable, 7.5 oz Plastic Microwaveable Tray",Hormel,2.28,23.263749999999998,6.07625,524,3.8,Pantry staples,Food,False,True
2320713397,"Chiclily Dresses for Women Long Sleeve Round Neck Casual T Shirts Loose Fitting Sweater Tunic Dress with Side Button, US Size Medium in Dark Grey",Chiclily,25.0,39.99,15.0,534,4.8,Womens Sweaters,Clothing,True,False
2294150264,Mubineo Women Denim Long Jumpsuit Casual Spaghetti Strap Wide Leg Romper Pants Summer Baggy Bib Overalls,Mubineo,25.9,33.85,7.96,48,3,Womens Denim Overalls,Clothing,True,False
2677890305,Free Country Men's Tech Stretch Short II - Blue L,FREE COUNTRY,40.0,51.0,11.0,3,5,Mens Shorts,Clothing,True,False
5164148011,ZXSXSY Women Sleeveless Square Neck Spaghetti Straps Solid Color Velvet Tank Top,ZXSXSY,15.0,17.99,3.0,28,4,Womens Tank Tops,Clothing,True,False
3100329946,Nlife Women's Bohemian High Waist Flowy Double Layer Maxi Skirt,Nlife,20.0,26.99,7.0,144,3.4,Womens Skirts,Clothing,True,False
2354001915,Amay Grommet Blackout Curtain Panel Baby Pink 84 Inch Wide by 96 Inch Long -1Panel,Amay's,106.0,132.0,26.4,11,4.5,Shop Curtains,Home,True,False
974681248,"Emma + Oliver 6'x9' Contemporary Swirl Plush Pile Accent Rug with Scraped Effect in Purple, Gray, Black and White and Jute Backing",EMMA + OLIVER,87.0,188.73,101.74,15,5,All Area Rugs,Home,True,False
2978837194,"Avidlove Christmas Romper Pajamas for Women Sexy Santa Velvet Lingerie Jumpsuit Shorts Bodysuit with Belt Sexy Santa Claus Outfits,Red",Avidlove,20.0,22.99,3.0,9,4.9,Lingerie Sets,Clothing,True,False
